"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,8.0,percent,6.7,9.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,11.5,percent,9.4,13.7,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,8.7,percent,7.2,10.7,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,12.9,percent,10.9,16.0,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,10.6,percent,8.6,13.2,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,16.2,percent,13.9,19.7,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000201,21.5,percent,18.4,25.6,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,3.7,percent,2.8,5.2,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,3.9,percent,2.8,5.3,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,5.0,percent,3.9,6.6,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,7.1,percent,5.6,9.1,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,5.2,percent,4.1,6.8,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,4.8,percent,3.8,6.3,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,4.5,percent,3.6,5.8,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,5.9,percent,4.6,7.9,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000202,5.9,percent,4.5,8.4,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,3.9,percent,2.8,5.5,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,3.4,percent,2.6,4.8,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,4.3,percent,3.6,5.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,6.3,percent,5.3,8.1,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,4.6,percent,3.9,5.8,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,4.5,percent,3.7,5.9,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,4.0,percent,3.2,5.3,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,5.3,percent,4.2,7.5,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000300,5.2,percent,4.0,7.4,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,3.6,percent,2.8,4.7,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,3.7,percent,2.7,5.0,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,4.6,percent,3.7,5.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,6.6,percent,5.5,8.2,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,4.8,percent,3.9,6.0,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,4.8,percent,4.0,6.0,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,4.2,percent,3.4,5.2,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,4.6,percent,3.9,5.6,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000400,4.8,percent,4.0,5.8,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,3.5,percent,2.8,4.8,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,2.8,percent,2.2,4.4,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,3.8,percent,3.3,5.1,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,5.5,percent,4.8,7.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,4.0,percent,3.5,5.1,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,3.8,percent,3.4,4.7,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,3.5,percent,3.0,4.7,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,4.3,percent,3.6,6.0,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000501,4.7,percent,3.9,6.6,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,3.1,percent,2.5,4.2,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,2.7,percent,2.1,3.7,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,3.7,percent,3.1,4.7,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,5.2,percent,4.5,6.6,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,4.0,percent,3.3,5.3,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,4.0,percent,3.2,5.4,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,3.2,percent,2.6,4.3,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,3.8,percent,3.2,5.0,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000502,4.2,percent,3.4,5.6,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000600,3.3,percent,2.5,4.3,,,,,No,2022,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000600,3.2,percent,2.4,4.4,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults without Health Insurance","This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ","Census Tract",11001000600,4.2,percent,3.4,5.2,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
